municipal_id,name_municipal_w_type,municipal_rate,education_rate
2214,Orangeville T,0.00852192,0.00153
2221,Shelburne T,0.00786584,0.00153
2212,Mono T,0.00384839,0.00153
2208,Amaranth Tp,0.00582414,0.00153
2201,East Garafraxa Tp,0.00547281,0.00153
2219,Melancthon Tp,0.00511836,0.00153
2216,Mulmur Tp,0.00501741,0.00153
2204,Grand Valley T,0.0073532,0.00153
3421,St. Thomas C,0.01468847,0.00153
3411,Aylmer T,0.0090603,0.00153
3424,Southwold Tp,0.00550683,0.00153
3401,Bayham M,0.00715677,0.00153
3418,Central Elgin M,0.00835969,0.00153
3429,Dutton-Dunwich M,0.00893117,0.00153
3408,Malahide Tp,0.00721319,0.00153
3434,West Elgin M,0.0064005,0.00153
3739,Windsor C,0.01786661,0.00153
3734,LaSalle T,0.010496,0.00153
3729,Amherstburg T,0.01015355,0.00153
3754,Essex T,0,0.00153
3711,Kingsville T,0.00763028,0.00153
3751,Lakeshore M,0.0066401,0.00153
3706,Leamington M,0.01088422,0.00153
3744,Tecumseh T,0.00805439,0.00153
3701,Pelee Tp,0.01598776,0.00153
1011,Kingston C,0.01084408,0.00153
1039,Central Frontenac Tp,0.0097925,0.00153
1001,Frontenac Islands Tp,0,0.00153
1042,North Frontenac Tp,0.007203,0.00153
1029,South Frontenac Tp,0.00616904,0.00153
4259,Owen Sound C,0.0133327,0.00153
4229,Hanover T,0.00978715,0.00153
4242,The Blue Mountains T,0.00389113,0.00153
4210,Meaford M,0.00900988,0.00153
4204,Chatsworth Tp,0.00757983,0.00153
4207,Southgate Tp,0.00894087,0.00153
4203,Georgian Bluffs Tp,0.0062513,0.00153
4208,Grey Highlands M,0.00684456,0.00153
4205,West Grey M,0.00748728,0.00153
4624,Dysart et al M,0.00316071,0.00153
4616,Minden Hills Tp,0.00419856,0.00153
4601,Highlands East M,0.00525422,0.00153
4621,Algonquin Highlands Tp,0.00354518,0.00153
1208,Belleville C,0.00982485,0.00153
1204,Quinte West C,0.01198105,0.00153
1202,Deseronto T,0.01326003,0.00153
1262,Bancroft T,0.01448794,0.00153
1258,Faraday Tp,0.00799601,0.00153
1251,Limerick Tp,0.009044,0.00153
1236,Madoc Tp,0.00898631,0.00153
1248,Tudor and Cashel Tp,0.007888,0.00153
1201,Tyendinaga Tp,0.00786514,0.00153
1254,Wollaston Tp,0.00955105,0.00153
1230,Centre Hastings M,0.01101599,0.00153
1220,Stirling-Rawdon Tp,0.01112675,0.00153
1231,Tweed M,0.00723182,0.00153
1290,Hastings Highlands M,0.00811621,0.00153
1270,Carlow-Mayo Tp,0.00944836,0.00153
1241,Marmora and Lake M,0.00821073,0.00153
4028,Goderich T,0.00981257,0.00153
4020,Bluewater M,0.00409275,0.00153
4010,South Huron M,0,0.00153
4040,Huron East M,0.00675867,0.00153
4046,Howick Tp,0.00812774,0.00153
4030,Central Huron M,0.00718502,0.00153
4070,Ashfield-Colborne-Wawanosh Tp,0.00470019,0.00153
4060,Morris-Turnberry M,0.00883724,0.00153
4050,North Huron Tp,0.01344343,0.00153
3650,Chatham-Kent M,0.01429462,0.00153
3829,Sarnia C,0.00909688,0.00153
3845,Lambton Shores M,0.00515136,0.00153
3819,Petrolia T,0.00984468,0.00153
3835,Plympton-Wyoming T,0.00689406,0.00153
3818,Oil Springs V,0.01036498,0.00153
3831,Point Edward V,0.00707336,0.00153
3816,Enniskillen Tp,0.0061024,0.00153
3806,Dawn-Euphemia Tp,0.00752022,0.00153
3841,Warwick Tp,0.00469369,0.00153
3815,Brooke-Alvinston M,0.00808704,0.00153
3805,St. Clair Tp,0.00604725,0.00153
0904,Smiths Falls T,0.01735537,0.00153
0928,Carleton Place T,0.00726151,0.00153
0921,Perth T,0.00910543,0.00153
0931,Mississippi Mills M,0.00481672,0.00153
0924,Beckwith Tp,0.00309085,0.00153
0901,Montague Tp,0.00759033,0.00153
0940,Lanark Highlands Tp,0.00490404,0.00153
0919,Drummond-North Elmsley Tp,0.00318841,0.00153
0911,Tay Valley Tp,0.00411969,0.00153
0802,Brockville C,0.01430607,0.00153
0814,Gananoque T,0.01394344,0.00153
0708,Prescott T,0.01469939,0.00153
0842,Westport V,0.01004164,0.00153
0714,Merrickville-Wolford V,0.00850435,0.00153
0706,Augusta Tp,0.00663755,0.00153
0806,Front of Yonge Tp,0.005501,0.00153
0719,North Grenville M,0.00627976,0.00153
0831,Rideau Lakes Tp,0.00512625,0.00153
0819,Athens Tp,0.0045292,0.00153
0701,Edwardsburgh-Cardinal Tp,0.00710429,0.00153
0812,Leeds and the Thousand Islands Tp,0.00477906,0.00153
0801,Elizabethtown-Kitley Tp,0.0062887,0.00153
1121,Greater Napanee T,0.0056,0.00153
1134,Addington Highlands Tp,0.00657793,0.00153
1104,Loyalist Tp,0.00825088,0.00153
1124,Stone Mills Tp,0.00652946,0.00153
3936,London C,0.01308166,0.00153
3902,Newbury V,0.00979506,0.00153
3939,Middlesex Centre M,0.00645992,0.00153
3958,Lucan Biddulph Tp,0.00656546,0.00153
3946,Adelaide Metcalfe Tp,0.00713902,0.00153
3954,North Middlesex M,0.00824711,0.00153
3906,Southwest Middlesex M,0.00941245,0.00153
3916,Strathroy-Caradoc M,0.00735697,0.00153
3926,Thames Centre M,0.00468966,0.00153
1421,Cobourg T,0.0090933,0.00153
1408,Brighton M,0.00691483,0.00153
1435,Trent Hills M,0.00825998,0.00153
1423,Port Hope M,0.00725566,0.00153
1419,Hamilton Tp,0.0055029,0.00153
1450,Alnwick-Haldimand Tp,0.00586914,0.00153
1411,Cramahe Tp,0.00802835,0.00153
3111,Stratford C,0.01352611,0.00153
3116,St. Marys T,0.0130918,0.00153
3140,North Perth M,0.00791548,0.00153
3110,Perth East Tp,0.00422091,0.00153
3120,Perth South Tp,0.00469196,0.00153
3130,West Perth M,0.00636055,0.00153
1514,Peterborough C,0.01384656,0.00153
1501,Asphodel-Norwood Tp,0.00725064,0.00153
1536,North Kawartha Tp,0.00373014,0.00153
1509,Cavan Monaghan Tp,0.00725803,0.00153
1522,Douro-Dummer Tp,0.00402927,0.00153
1542,Trent Lakes M,0.003966,0.00153
1531,Havelock-Belmont-Methuen Tp,0.0050432,0.00153
1506,Otonabee-South Monaghan Tp,0.00612033,0.00153
1516,Selwyn Tp,0.00246108,0.00153
0316,Clarence-Rockland C,0.00737149,0.00153
0208,Hawkesbury T,0.01181814,0.00153
0302,Casselman M,0.00656974,0.00153
0201,East Hawkesbury Tp,0.00508439,0.00153
0306,Russell Tp,0.0055106,0.00153
0231,Alfred and Plantagenet Tp,0.00721667,0.00153
0209,Champlain Tp,0.00669657,0.00153
0212,The Nation M,0.00761108,0.00153
1350,Prince Edward Co,0.00993486,0.00153
4764,Pembroke C,0.01553824,0.00153
4702,Arnprior T,0.00913245,0.00153
4796,Deep River T,0.01072964,0.00153
4748,Renfrew T,0.01081286,0.00153
4779,Petawawa T,0.00457279,0.00153
4792,Laurentian Hills T,0.00742021,0.00153
4798,"Head, Clara and Maria Tp",0.00208325,0.00153
4746,Horton Tp,0.00573182,0.00153
4701,McNab-Braeside Tp,0.00677188,0.00153
4719,"Brudenell, Lyndoch and Raglan Tp",0.00588769,0.00153
4769,North Algona Wilberforce Tp,0.00705164,0.00153
4742,Admaston-Bromley Tp,0.00742786,0.00153
4766,Laurentian Valley Tp,0.00460686,0.00153
4731,"Killaloe, Hagarty and Richards Tp",0.00711078,0.00153
4726,Madawaska Valley Tp,0.00548456,0.00153
4738,Bonnechere Valley Tp,0.00691418,0.00153
4758,Whitewater Region Tp,0.00709743,0.00153
4706,Greater Madawaska Tp,0.00450282,0.00153
4342,Barrie C,0.01138176,0.00153
4352,Orillia C,0.01302684,0.00153
4331,Collingwood T,0.00737631,0.00153
4374,Midland T,0.01145502,0.00153
4372,Penetanguishene T,0.00906954,0.00153
4364,Wasaga Beach T,0.00536681,0.00153
4316,Innisfil T,0.00381734,0.00153
4312,Bradford West Gwillimbury T,0.00328885,0.00153
4324,New Tecumseth T,0.00525998,0.00153
4321,Essa Tp,0.00300988,0.00153
4368,Tiny Tp,0.00364578,0.00153
4301,Adjala-Tosorontio Tp,0.00371124,0.00153
4329,Clearview Tp,0.00752836,0.00153
4346,Oro-Medonte Tp,0.004988,0.00153
4348,Ramara Tp,0.0056764,0.00153
4351,Severn Tp,0.00393552,0.00153
4341,Springwater Tp,0.00431786,0.00153
4353,Tay Tp,0.00586829,0.00153
0402,Cornwall C,0.01621781,0.00153
0511,North Dundas Tp,0.00462946,0.00153
0506,South Dundas M,0.00561165,0.00153
0111,North Glengarry Tp,0.00542645,0.00153
0101,South Glengarry Tp,0.00519759,0.00153
0411,North Stormont Tp,0.00369997,0.00153
0406,South Stormont Tp,0.00511895,0.00153
1651,Kawartha Lakes C,0.00794495,0.00153
2308,Guelph C,0.01076079,0.00153
2316,Erin T,0.00281171,0.00153
2341,Minto T,0.00535165,0.00153
2301,Puslinch Tp,0.00183714,0.00153
2326,Centre Wellington Tp,0.00317353,0.00153
2311,Guelph-Eramosa Tp,0.00273795,0.00153
2332,Mapleton Tp,0.00492086,0.00153
2349,Wellington North Tp,0.00515743,0.00153
5761,Sault Ste. Marie C,0.01498196,0.00153
5741,Elliot Lake C,0.0198266,0.00153
5738,Blind River T,0.01989219,0.00153
5721,Bruce Mines T,0.01757203,0.00153
5728,Thessalon T,0.01663323,0.00153
5739,Spanish T,0.01483888,0.00153
5706,Hilton Beach V,0.01710468,0.00153
5704,Hilton Tp,0.00865208,0.00153
5701,Jocelyn Tp,0.00838317,0.00153
5716,Johnson Tp,0.01727844,0.00153
5711,Laird Tp,0.01292264,0.00153
5751,"Macdonald, Meredith & Aberdeen Additional Tp",0.01490762,0.00153
5776,Wawa M,0.02681504,0.00153
5719,Plummer Additional Tp,0.01504239,0.00153
5766,Prince Tp,0.00933477,0.00153
5708,St. Joseph Tp,0.01040361,0.00153
5714,Tarbutt Tp,0.0107994,0.00153
5796,Hornepayne Tp,0.04965962,0.00153
5740,The North Shore Tp,0.01395655,0.00153
5791,White River Tp,0.03465842,0.00153
5779,Dubreuilville Tp,0.03324624,0.00153
5724,Huron Shores M,0.01638533,0.00153
5627,Timmins C,0.01780103,0.00153
5676,Hearst T,0.01867946,0.00153
5631,Iroquois Falls T,0.02286991,0.00153
5666,Kapuskasing T,0.02287181,0.00153
5648,Smooth Rock Falls T,0.02167065,0.00153
5639,Cochrane T,0.0164075,0.00153
5665,Moosonee T,0.02135166,0.00153
5614,Black River-Matheson Tp,0.01706057,0.00153
5656,Moonbeam Tp,0.01799553,0.00153
5652,Fauquier-Strickland Tp,0.01801315,0.00153
5670,Val Rita-Harty Tp,0.02445143,0.00153
5677,Mattice-Val Côté Tp,0.01655567,0.00153
5673,Opasatika Tp,0.01837334,0.00153
6026,Dryden C,0.01661285,0.00153
6016,Kenora C,0.01309035,0.00153
6034,Sioux Lookout M,0.01981987,0.00153
6041,Red Lake M,0.01444026,0.00153
6001,Ignace Tp,0.02676724,0.00153
6021,Machin M,0.01094381,0.00153
6042,Ear Falls Tp,0.02249873,0.00153
6049,Pickle Lake Tp,0.03186146,0.00153
6008,Sioux Narrows-Nestor Falls Tp,0.00724338,0.00153
5126,Gore Bay T,0.0176543,0.00153
5119,Northeastern Manitoulin and The Islands M,0.00590747,0.00153
5111,Assiginack Tp,0.01514052,0.00153
5121,Billings Tp,0.01145772,0.00153
5128,Burpee and Mills Tp,0.01069932,0.00153
5134,Cockburn Island Tp,0.01116096,0.00153
5101,Tehkummah Tp,0.0169876,0.00153
5104,Central Manitoulin M,0.01320045,0.00153
5124,Gordon-Barrie Island M,0.00876269,0.00153
4844,North Bay C,0.0151132,0.00153
4821,Mattawa T,0.01980839,0.00153
4869,Temagami M,0.008832,0.00153
4852,West Nipissing M,0.01159454,0.00153
4801,South Algonquin Tp,0.00910631,0.00153
4826,Bonfield Tp,0.01231002,0.00153
4822,Calvin M,0.01186179,0.00153
4831,Chisholm Tp,0.01221473,0.00153
4834,East Ferris M,0.00962562,0.00153
4819,Mattawan M,0.01478327,0.00153
4816,Papineau-Cameron Tp,0.01103877,0.00153
4918,Kearney T,0.00942763,0.00153
4932,Parry Sound T,0.01516645,0.00153
4959,Powassan M,0.01151166,0.00153
4922,Burk's Falls V,0.01690585,0.00153
4956,South River V,0.01810218,0.00153
4948,Sundridge V,0.01722425,0.00153
4919,Armour Tp,0.00800998,0.00153
4936,Carling Tp,0.00557156,0.00153
4939,Whitestone M,0.0052968,0.00153
4966,Callander M,0.01142031,0.00153
4951,Joly Tp,0.01278632,0.00153
4954,Machar Tp,0.0088801,0.00153
4931,McDougall M,0.00616479,0.00153
4928,McKellar Tp,0.0056954,0.00153
4912,McMurrich-Monteith Tp,0.008042,0.00153
4971,Nipissing Tp,0.00790625,0.00153
4914,Perry Tp,0.00704034,0.00153
4924,Ryerson Tp,0.01217081,0.00153
4946,Strong Tp,0.00942379,0.00153
4905,The Archipelago Tp,0.00223769,0.00153
4944,Magnetawan M,0.00770151,0.00153
4903,Seguin Tp,0.00387224,0.00153
5912,Fort Frances T,0.01946508,0.00153
5942,Rainy River T,0.02664551,0.00153
5911,Alberton Tp,0.00914971,0.00153
5901,Atikokan T,0.03538599,0.00153
5924,Chapple Tp,0.01303267,0.00153
5919,Emo Tp,0.01581319,0.00153
5916,La Vallee Tp,0.01417836,0.00153
5931,Morley Tp,0.01154545,0.00153
5934,Dawson Tp,0.00978143,0.00153
5946,Lake of the Woods Tp,0.00534,0.00153
5226,Espanola T,0.01566927,0.00153
5201,French River M,0.00894342,0.00153
5136,Killarney M,0.00847388,0.00153
5208,Markstay-Warren M,0.01301827,0.00153
5204,St.-Charles M,0.01336591,0.00153
5228,Baldwin Tp,0.01117112,0.00153
5292,Chapleau Tp,0.03152559,0.00153
5231,Nairn and Hyman Tp,0.01385806,0.00153
5218,Sables-Spanish Rivers Tp,0.01397616,0.00153
5804,Thunder Bay C,0.01352547,0.00153
5859,Marathon T,0.02781295,0.00153
5876,Greenstone M,0.02441003,0.00153
5819,Conmee Tp,0.0140184,0.00153
5834,Dorion Tp,0.01403577,0.00153
5812,Gillies Tp,0.016067,0.00153
5801,Neebing M,0.00827169,0.00153
5844,Nipigon Tp,0.02039035,0.00153
5816,O'Connor Tp,0.01202181,0.00153
5851,Schreiber Tp,0.04855068,0.00153
5828,Shuniah M,0.00649975,0.00153
5854,Terrace Bay Tp,0.02964364,0.00153
5866,Manitouwadge Tp,0.06695017,0.00153
5841,Red Rock Tp,0.03948868,0.00153
5808,Oliver Paipoonge M,0.01004201,0.00153
5418,Temiskaming Shores C,0.0119942,0.00153
5408,Cobalt T,0.01540685,0.00153
5452,Englehart T,0.01630191,0.00153
5468,Kirkland Lake T,0.019802,0.00153
5406,Latchford T,0.01064946,0.00153
5438,Thornloe V,0.01607139,0.00153
5436,Armstrong Tp,0.01029851,0.00153
5432,Brethour Tp,0.00887157,0.00153
5429,Casey Tp,0.01188479,0.00153
5454,Chamberlain Tp,0.01160347,0.00153
5401,Coleman Tp,0.00905,0.00153
5449,Evanturel Tp,0.01158557,0.00153
5426,Harley Tp,0.01089422,0.00153
5414,Harris Tp,0.00563578,0.00153
5434,Hilliard Tp,0.01175183,0.00153
5421,Hudson Tp,0.00779806,0.00153
5442,James Tp,0.01042908,0.00153
5424,Kerns Tp,0.01164241,0.00153
5462,Larder Lake Tp,0.02166281,0.00153
5458,McGarry Tp,0.0234853,0.00153
5466,Gauthier Tp,0.01939016,0.00153
5456,Matachewan Tp,0.01586671,0.00153
5446,Charlton and Dack M,0.0121031,0.00153
